商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
睡衣女夏季新款短袖短裤韩版甜美公主风学生可爱两件套睡衣家居服,230725-497465476482706,待发货,"57.63	","1.0	","0.0	","56.63	","56.63	","1	","	","	","497952154126	","2210车厘,XL 建议拍【110-125斤】","1413934162237	",#dd#230725-651836835481992#17139734129#2023-07-25#220513362248#20.88##;,无售后或售后取消,"	","	",2023/7/25 13:19,否,,"	",
300斤睡衣女夏季薄款冰丝短袖套装新款可爱性感纯欲可外穿家居服,230725-411954103700592,已发货，待签收,"69.7	","1.0	","0.0	","68.7	","68.7	","1	",2023/7/26 14:02,"	","498240847913	","白色,M 120斤内","1414394157614	",#dd#230725-016494109693409#18030372931#2023-07-25#448226108507#23.87##;,无售后或售后取消,"777156691948773	",申通快递,2023/7/25 12:55,否,,"	",
夏季妈妈冰丝阔腿裤中老年新宽松百搭花色阔腿裤高腰显瘦高档裙裤,230725-615907399092383,已发货，待签收,"39.95	","1.0	","0.0	","38.95	","38.95	","1	",2023/7/26 8:41,"	","498373068809	","1号色 【冰丝裤】,XL 建议【120斤内】","1414613202063	",#dd#230725-558623702653409#18030372931#2023-07-25#489179488192#12.8##;,无售后或售后取消,"463037884946058	",韵达快递,2023/7/25 12:54,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230725-643993497183109,未发货，退款成功,"64.68	","1.0	","0.0	","63.68	","63.68	","1	","	","	","497947696959	","全棉25192,XL 【120-140斤】","1413927064055	","	",退款成功,"	","	",2023/7/25 12:51,否,,"	",
夏季妈妈冰丝阔腿裤中老年新宽松百搭花色阔腿裤高腰显瘦高档裙裤,230725-311327496972739,已发货，待签收,"39.95	","1.0	","0.0	","38.95	","38.95	","1	",2023/7/26 8:41,"	","498373068809	","1号色 【冰丝裤】,2XL 建议【120-140】斤","1414613202064	",#dd#230725-325577645053409#18030372931#2023-07-25#489179488192#12.8##;,无售后或售后取消,"463037886054157	",韵达快递,2023/7/25 12:45,否,,"	",
纯棉七分裤女夏季薄款亚麻中老年人大码休闲裤显瘦宽松高腰哈伦裤,230725-567478875050882,已发货，待签收,"52.7	","1.0	","0.0	","51.7	","51.7	","1	",2023/7/26 8:41,"	","498368452918	","白色(单件),XL 建议115-130斤","1414605972941	",#dd#230725-534931107453409#18030372931#2023-07-25#388098901323#18.8##;,无售后或售后取消,"777156612703814	",申通快递,2023/7/25 12:42,否,,"	",
春夏季新款短袖棉绸女士中年妈妈睡衣套装大码宽松简约人棉家居服,230725-285097389671628,已发货，待签收,"80.1	","1.0	","0.0	","79.1	","79.1	","1	",2023/7/26 8:41,"	","497944648079	","XLT绿底经典格,2XL （120-136斤）","1413922371478	",#dd#230725-399843030013409#18030372931#2023-07-25#461921018633#29.8##;,无售后或售后取消,"463037885729898	",韵达快递,2023/7/25 12:20,否,,"	",
2023睡裙女春夏季冰丝性感薄款男友风白衬衫网红中长款仿真丝睡衣,230725-211592190811635,已发货，待签收,"69.7	","1.0	","0.0	","68.7	","68.7	","1	",2023/7/26 8:41,"	","497980882524	","高级丝滑面料0001白色,M码 【建议80-110斤】","1413978250658	",#dd#230725-613044797053409#18030372931#2023-07-25#238657498353#26.88##;,无售后或售后取消,"777156612740397	",申通快递,2023/7/25 11:45,否,,"	",
新款纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230725-356463440681325,已发货，待签收,"63.75	","1.0	","0.0	","62.75	","62.75	","1	",2023/7/26 8:41,"	","498274982588	","全棉25232,XL 【115-130斤】","1414448705151	",#dd#230725-378273821693409#18030372931#2023-07-25#462812724748#23.98##;,无售后或售后取消,"777156612712439	",申通快递,2023/7/25 10:39,否,,"	",
【买一送一】自带胸垫新款睡衣女士夏季宽松条纹学生家居服两套装,230725-336398939121733,已发货，待签收,"81.6	","1.0	","0.0	","80.6	","80.6	","1	",2023/7/26 8:41,"	","498216278749	","SD1104绿色+黑色 【实发两套,L 建议95-110斤","1414354618476	",#dd#230725-503714948093409#18030372931#2023-07-25#478751201874#26.39##;,无售后或售后取消,"777156612722769	",申通快递,2023/7/25 10:33,否,,"	",
