2023-07-26,花费(元),交易额(元),实际投产比,成交笔数,每笔成交花费(元),每笔成交金额(元),全站推广费比,曝光量,点击量
0:00-1:00,33.07,250.38,7.57,3,11.02,83.46,13.21%,463,18
1:00-2:00,23.58,0.00,0.00,0,0.00,0.00,0.00%,214,12
2:00-3:00,14.48,75.50,5.21,1,14.48,75.50,19.18%,158,7
3:00-4:00,23.30,0.00,0.00,0,0.00,0.00,0.00%,104,2
4:00-5:00,2.49,0.00,0.00,0,0.00,0.00,0.00%,155,1
5:00-6:00,3.31,0.00,0.00,0,0.00,0.00,0.00%,248,11
6:00-7:00,4.88,0.00,0.00,0,0.00,0.00,0.00%,476,26
7:00-8:00,47.25,273.84,5.80,5,9.45,54.77,17.25%,624,26
8:00-9:00,86.74,196.75,2.27,3,28.91,65.58,44.08%,712,32
9:00-10:00,27.15,0.00,0.00,0,0.00,0.00,0.00%,851,29
10:00-11:00,5.21,0.00,0.00,0,0.00,0.00,0.00%,968,50
11:00-12:00,18.94,53.00,2.80,1,18.94,53.00,35.74%,961,34
12:00-13:00,70.39,190.10,2.70,2,35.19,95.05,37.03%,980,40
13:00-14:00,13.94,53.87,3.86,1,13.94,53.87,25.88%,981,44
14:00-15:00,14.74,38.95,2.64,1,14.74,38.95,37.83%,950,34
15:00-16:00,4.61,49.15,10.66,1,4.61,49.15,5.23%,960,29
16:00-17:00,24.92,90.00,3.61,1,24.92,90.00,27.69%,496,26
总计,418.98,1271.54,3.03,19,22.05,66.92,31.97%,10301,421
